accommodates,bedrooms,bathrooms,beds,room_type,neighbourhood,log_price
6,3.0,1.0,3.0,Entire home/apt,Bushwick,5.075173815
7,3.0,2.0,3.0,Entire home/apt,Mid-City,5.379897354
4,1.0,1.0,2.0,Entire home/apt,Gold Coast,4.094344562
1,1.0,1.0,16.0,Shared room,Western Addition/NOPA,6.906754779
2,0.0,1.0,1.0,Entire home/apt,Upper West Side,4.59511985
4,1.0,1.0,1.0,Entire home/apt,Mid-Wilshire,4.736198448
1,1.0,1.0,1.0,Private room,East Flatbush,3.36729583
2,1.0,1.0,1.0,Private room,East Village,4.59511985
2,1.0,1.0,1.0,Private room,West Los Angeles,4.317488114
2,0.0,1.0,1.0,Entire home/apt,Tenderloin,4.779123493
2,1.0,1.0,1.0,Private room,Flatbush,3.713572067
2,2.0,1.0,1.0,Entire home/apt,Upper West Side,4.442651256
2,1.0,1.0,2.0,Private room,O'Hare,4.442651256
2,0.0,1.0,1.0,Entire home/apt,Lincoln Square,4.700480366
1,1.0,1.0,1.0,Private room,Dupont Circle,5.176149733
1,1.0,1.0,1.0,Private room,Bushwick,3.828641396
1,1.0,1.0,1.0,Private room,Mission Bay,4.65396035
4,1.0,1.0,1.0,Entire home/apt,Bushwick,5.231108617
2,1.0,1.0,1.0,Entire home/apt,Pacific Heights,5.393627546
4,1.0,1.0,3.0,Private room,Mission District,4.442651256
2,1.0,1.0,1.0,Entire home/apt,Sunnyside,4.744932128
1,1.0,1.0,1.0,Private room,Crown Heights,3.912023005
2,2.0,1.0,2.0,Private room,16th Street Heights,3.465735903
5,2.0,1.0,3.0,Entire home/apt,Lincoln Park,4.553876892
16,2.0,1.0,6.0,Entire home/apt,Crotona,4.248495242
2,1.0,2.0,1.0,Private room,Bushwick,3.912023005
6,0.0,2.0,1.0,Entire home/apt,Hell's Kitchen,5.828945618
3,0.0,1.0,1.0,Entire home/apt,Mid-Wilshire,5.272999559
2,1.0,1.0,1.0,Entire home/apt,Long Beach,4.382026635
2,1.0,1.0,1.0,Entire home/apt,Duboce Triangle,5.129898715
2,1.0,1.0,1.0,Private room,El Sereno,5.010635294
4,0.0,1.0,2.0,Entire home/apt,Hollywood,4.48863637
2,1.0,1.0,1.0,Private room,Hell's Kitchen,5.129898715
2,0.0,1.0,1.0,Entire home/apt,Mid-Wilshire,4.744932128
2,1.0,1.0,1.0,Entire home/apt,Dorchester,4.382026635
4,1.0,1.0,2.0,Entire home/apt,Nolita,5.521460918
2,1.0,1.0,1.0,Private room,Park Slope,4.406719247
2,1.0,1.0,1.0,Entire home/apt,Nolita,5.220355825
2,1.0,1.0,1.0,Entire home/apt,Clinton Hill,5.010635294
6,2.0,1.0,3.0,Entire home/apt,Petworth,4.744932128
4,1.0,1.0,2.0,Entire home/apt,Capitol Hill,5.147494477
1,1.0,1.5,1.0,Private room,Bushwick,3.688879454
4,1.0,1.0,2.0,Entire home/apt,Nolita,5.298317367
1,1.0,0.5,1.0,Shared room,Canoga Park,3.091042453
2,1.0,1.0,1.0,Private room,Duboce Triangle,4.744932128
4,1.0,1.0,1.0,Entire home/apt,Harlem,5.298317367
4,1.0,1.0,2.0,Entire home/apt,The Castro,5.521460918
2,1.0,1.0,1.0,Private room,Lefferts Garden,4.317488114
2,1.0,0.0,1.0,Private room,Williamsburg,4.605170186
2,1.0,1.0,1.0,Private room,Bushwick,3.80666249
2,1.0,1.0,1.0,Entire home/apt,Hollywood,4.700480366
2,1.0,1.0,1.0,Entire home/apt,Sheepshead Bay,4.691347882
4,0.0,1.0,2.0,Entire home/apt,Hell's Kitchen,5.293304825
2,1.0,1.0,1.0,Private room,Hell's Kitchen,4.828313737
3,1.0,1.0,1.0,Private room,Crocker Amazon,3.688879454
2,1.0,1.0,1.0,Private room,Lower East Side,4.49980967
4,2.0,2.0,2.0,Entire home/apt,East Boston,5.129898715
2,1.0,1.0,2.0,Private room,Outer Sunset,4.262679877
2,1.0,1.0,1.0,Private room,Highland Park,4.094344562
7,3.0,2.5,5.0,Entire home/apt,Venice,6.396929655
2,1.0,1.5,1.0,Private room,Redondo Beach,4.510859507
3,1.0,1.0,1.0,Private room,Edgewood,4.465908119
2,0.0,1.0,1.0,Entire home/apt,River North,4.290459441
2,1.0,1.0,1.0,Private room,Marina,5.978885765
2,1.0,1.0,1.0,Entire home/apt,Echo Park,4.290459441
6,3.0,2.0,3.0,Entire home/apt,Prospect Heights,5.393627546
2,2.0,1.0,2.0,Entire home/apt,Carroll Gardens,5.521460918
2,1.0,1.0,1.0,Entire home/apt,Astoria,4.744932128
4,0.0,1.0,2.0,Entire home/apt,Financial District,5.293304825
6,1.0,1.0,5.0,Entire home/apt,Alhambra,4.905274778
5,1.0,1.0,1.0,Entire home/apt,Long Island City,5.298317367
8,2.0,2.0,8.0,Entire home/apt,Hayes Valley,5.497168225
4,1.0,1.0,2.0,Entire home/apt,Hell's Kitchen,5.700443573
